T:f1, T:f2
Buf:l0, Buf:l6
Buf:l1, Buf:l6
Buf:l2, Buf:l6
Buf:l0, Buf:l7
Buf:l1, Buf:l7
Buf:l2, Buf:l7
Buf:l0, Buf:l9
Buf:l1, Buf:l9
Buf:l2, Buf:l9
Buf:l0, Buf:l10
Buf:l1, Buf:l10
Buf:l2, Buf:l10
Buf:l0, Buf:l11
Buf:l1, Buf:l11
Buf:l2, Buf:l11
Buf:l0, Buf:l13
Buf:l1, Buf:l13
Buf:l2, Buf:l13
Buf:l3, Buf:l6
Buf:l4, Buf:l6
Buf:l5, Buf:l6
Buf:l3, Buf:l7
Buf:l4, Buf:l7
Buf:l5, Buf:l7
Buf:l3, Buf:l9
Buf:l4, Buf:l9
Buf:l5, Buf:l9
Buf:l3, Buf:l10
Buf:l4, Buf:l10
Buf:l5, Buf:l10
Buf:l3, Buf:l11
Buf:l4, Buf:l11
Buf:l5, Buf:l11
Buf:l3, Buf:l13
Buf:l4, Buf:l13
Buf:l5, Buf:l13
Buf:l14, Buf:l6
Buf:l14, Buf:l7
Buf:l14, Buf:l8
Buf:l14, Buf:l9
Buf:l14, Buf:l10
Buf:l14, Buf:l11
Buf:l14, Buf:l12
Buf:l14, Buf:l13
